publication_number,query,abstract
US20180271722A1-20180927,disposable absorbent article vital signs monitoring system,"The present invention protects a system for monitoring the vital signs of a user of a disposable absorbent article that comprises a sensor device, a bi-dimensional code and a receiver, such that the sensor device is placed in contact with the user and the system is triggered by the reading of the bi-dimensional code through the receiver, such that the bi-dimensional code is place inside the packaging or the disposable absorbent article."
US20180271722A1-20180927,sensor device bi-dimensional code vital signs,"The present invention protects a system for monitoring the vital signs of a user of a disposable absorbent article that comprises a sensor device, a bi-dimensional code and a receiver, such that the sensor device is placed in contact with the user and the system is triggered by the reading of the bi-dimensional code through the receiver, such that the bi-dimensional code is place inside the packaging or the disposable absorbent article."
US20180271722A1-20180927,wearable sensor absorbent article health monitoring,"The present invention protects a system for monitoring the vital signs of a user of a disposable absorbent article that comprises a sensor device, a bi-dimensional code and a receiver, such that the sensor device is placed in contact with the user and the system is triggered by the reading of the bi-dimensional code through the receiver, such that the bi-dimensional code is place inside the packaging or the disposable absorbent article."
US20180223520A1-20180809,prefabricated modular building hyperstatic frame,"The invention relates to a prefabricated modular building system comprising a plurality of structural frames and connection means which horizontally and vertically join the structural frames, where the structural frames are hyperstatic and self-supporting with a closed cross-section and hyperstatic and self-supporting with an open cross-section. A building structure is formed with a plurality of structural frames interconnected horizontally and vertically in assemblies arranged such that, on the same level or on vertically arranged leveld, there is a sequence of assemblies of structural frames and empty spaces. The plurality of structural frames is horizontally and vertically connected and arranged on other structural frames in a vertical sequence of assemblies of structural frames and empty spaces."
US20180223520A1-20180809,self-supporting structural frame connection system,"The invention relates to a prefabricated modular building system comprising a plurality of structural frames and connection means which horizontally and vertically join the structural frames, where the structural frames are hyperstatic and self-supporting with a closed cross-section and hyperstatic and self-supporting with an open cross-section. A building structure is formed with a plurality of structural frames interconnected horizontally and vertically in assemblies arranged such that, on the same level or on vertically arranged leveld, there is a sequence of assemblies of structural frames and empty spaces. The plurality of structural frames is horizontally and vertically connected and arranged on other structural frames in a vertical sequence of assemblies of structural frames and empty spaces."
US20180223520A1-20180809,modular building open closed cross-section frame,"The invention relates to a prefabricated modular building system comprising a plurality of structural frames and connection means which horizontally and vertically join the structural frames, where the structural frames are hyperstatic and self-supporting with a closed cross-section and hyperstatic and self-supporting with an open cross-section. A building structure is formed with a plurality of structural frames interconnected horizontally and vertically in assemblies arranged such that, on the same level or on vertically arranged leveld, there is a sequence of assemblies of structural frames and empty spaces. The plurality of structural frames is horizontally and vertically connected and arranged on other structural frames in a vertical sequence of assemblies of structural frames and empty spaces."
US20180223625A1-20180809,fully electric downhole flow control valve hollow-shaft motor,"The invention relates to a valve-type (200) fully electric tool for downhole flow control using a hollow-shaft motor. Said valve (200) comprises: a housing (105) provided with an infinitely variable choke (109) wherein seals (106, 107) work as gaskets for both the outside and inside of the valve (200); a hollow-shaft servomotor (101) inside said housing (105) attached to a nut (102), and, additionally, when said motor (101) is activated, the motor directly moves a sliding sleeve (103) provided with an infinitely variable choke (108) axis-wise said valve; and in which the movement of said motor (101) is generated by means of a spindle (I04), created on the very same said sliding sleeve (103), and in which said valve (200) is operated from the surface by a single electric cable (112)."
US20180223625A1-20180809,infinitely variable choke valve electric cable control,"The invention relates to a valve-type (200) fully electric tool for downhole flow control using a hollow-shaft motor. Said valve (200) comprises: a housing (105) provided with an infinitely variable choke (109) wherein seals (106, 107) work as gaskets for both the outside and inside of the valve (200); a hollow-shaft servomotor (101) inside said housing (105) attached to a nut (102), and, additionally, when said motor (101) is activated, the motor directly moves a sliding sleeve (103) provided with an infinitely variable choke (108) axis-wise said valve; and in which the movement of said motor (101) is generated by means of a spindle (I04), created on the very same said sliding sleeve (103), and in which said valve (200) is operated from the surface by a single electric cable (112)."
US20180223625A1-20180809,sliding sleeve valve hollow-shaft servomotor downhole,"The invention relates to a valve-type (200) fully electric tool for downhole flow control using a hollow-shaft motor. Said valve (200) comprises: a housing (105) provided with an infinitely variable choke (109) wherein seals (106, 107) work as gaskets for both the outside and inside of the valve (200); a hollow-shaft servomotor (101) inside said housing (105) attached to a nut (102), and, additionally, when said motor (101) is activated, the motor directly moves a sliding sleeve (103) provided with an infinitely variable choke (108) axis-wise said valve; and in which the movement of said motor (101) is generated by means of a spindle (I04), created on the very same said sliding sleeve (103), and in which said valve (200) is operated from the surface by a single electric cable (112)."
US20180221533A1-20180809,bone replacement material reinforcing elements,"A bone replacement material having reinforcing elements and a modelable mass which is curable on contact with water or an aqueous liquid as well as a process for producing a bone replacement material, to a further bone replacement material and to medical kits for treatment of bone defects."
US20180221533A1-20180809,water curable bone replacement,"A bone replacement material having reinforcing elements and a modelable mass which is curable on contact with water or an aqueous liquid as well as a process for producing a bone replacement material, to a further bone replacement material and to medical kits for treatment of bone defects."
US20180221533A1-20180809,modelable bone defect treatment kit,"A bone replacement material having reinforcing elements and a modelable mass which is curable on contact with water or an aqueous liquid as well as a process for producing a bone replacement material, to a further bone replacement material and to medical kits for treatment of bone defects."
US20180206312A1-20180719,lighting system configuration device property association,"A configuration system (100) for configuring a first device (130) in a lighting system is disclosed. The configuration system (100) comprises a memory (102) arranged for storing one or more light settings (110), which light settings (110) are defined by one or more light setting rules (112). The configuration system (100) further comprises a communication unit (104) arranged for communicating with the first device (130). The configuration system (100) further comprises a processor (106) arranged for identifying a device property (132) of the first device (130) based on information received from the first device (130) via the communication unit (104). The processor (106) is further arranged for accessing one or more light settings (110) stored in the memory (102), and for associating the device property (132) with at least one of the one or more light setting rules (112) of at least one of the one or more light settings (110) only if the device property (132) is compliant with the respective light setting rule (112), and for storing the association. This method allows a user to connect the first device (130) to the configuration system (100), whereupon the configuration system (100) determines the functionality of the first device (130) in the lighting system based on the light settings (110) stored in the memory (102)."
